end_date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations,ticker,Issuance Of Capital Stock,Effect Of Exchange Rate Changes,Common Stock Issuance,Net Business Purchase And Sale,Purchase Of Business,Change In Other Working Capital,Change In Tax Payable,Change In Income Tax Payable,Unrealized Gain Loss On Investment Securities,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation,Operating Gains Losses,Gain Loss On Investment Securities,Proceeds From Stock Option Exercised,Sale Of Business,Change In Accrued Expense,Change In Prepaid Assets,Gain Loss On Sale Of Business,Capital Expenditure Reported,Amortization Cash Flow,Amortization Of Intangibles,Interest Paid Supplemental Data,Provisionand Write Offof Assets,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Sale Of PPE,Pension And Employee Benefit Expense,Short Term Debt Issuance,Cash From Discontinued Investing Activities,Cash From Discontinued Operating Activities,Cash From Discontinued Financing Activities,Earnings Losses From Equity Investments,Net Preferred Stock Issuance,Preferred Stock Issuance,Gain Loss On Sale Of PPE,Other Cash Adjustment Outside Changein Cash,Amortization Of Securities,Net Foreign Currency Exchange Gain Loss,Change In Interest Payable,cap_group
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLEX,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,mid_cap
2024-12-31,225172000.0,-143521000.0,0.0,0.0,-57385000.0,,553354000.0,510036000.0,51888000.0,-163210000.0,-163210000.0,,-19487000.0,-19487000.0,-143521000.0,-143521000.0,0.0,,,0.0,0.0,0.0,-67459000.0,-67459000.0,0.0,-5074000.0,5625000.0,-10699000.0,-57385000.0,-57385000.0,282557000.0,282557000.0,101331000.0,,,9280000.0,9280000.0,9280000.0,-2420000.0,12607000.0,12607000.0,1106000.0,14855000.0,31128000.0,31128000.0,146253000.0,TER,,-8570000.0,,-5000000.0,-5000000.0,23848000.0,,,,,-20099000.0,-20099000.0,26497000.0,4577000.0,-83000.0,-202000.0,0.0,,58016000.0,367000.0,,4631000.0,4631000.0,,3406000.0,,,,-1843000.0,,,,,6136000.0,,,,,,,,mid_cap
2024-09-30,,,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,TER,,,,,,,,,,,,,,,,,3176000.0,,,0.0,,,,,,,,,-2262000.0,,,,,,,,,,,,,mid_cap
2024-06-30,,,-185000000.0,,,,,,,,,,,,,,0.0,,,0.0,-185000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mid_cap
2024-12-31,153300000.0,0.0,-231700000.0,178100000.0,-36700000.0,,186700000.0,151700000.0,54400000.0,-75000000.0,-75000000.0,-17000000.0,-7600000.0,-7600000.0,0.0,0.0,-53600000.0,,,-53600000.0,-231700000.0,178100000.0,-60600000.0,-60600000.0,,-1200000.0,1100000.0,-2300000.0,-36500000.0,-36700000.0,190000000.0,190000000.0,91000000.0,,,-3600000.0,-3600000.0,-5700000.0,35300000.0,-51300000.0,-51300000.0,41900000.0,6800000.0,52900000.0,52900000.0,13900000.0,BRKR,0.0,-19400000.0,0.0,-22900000.0,-22900000.0,110600000.0,2100000.0,2100000.0,,1000000.0,-19600000.0,-19600000.0,,2100000.0,,3200000.0,,,,,,,,,,,,200000.0,,,,,,,,,2100000.0,,,,,mid_cap
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,-34800000.0,1200000.0,-36000000.0,,,,,,,,31500000.0,31500000.0,20900000.0,-11100000.0,-18800000.0,-18800000.0,,6300000.0,,,,BRKR,,,,,,-78900000.0,5000000.0,5000000.0,,5900000.0,,,,1700000.0,,-2900000.0,,,,,,,,,,,,0.0,,,,,,,,,1700000.0,,,,,mid_cap
2024-06-30,,,,,,,,,,,,,,,,,,-35200000.0,-839600000.0,,,,,,1700000.0,1300000.0,1300000.0,0.0,,,,,,,,-1200000.0,-1200000.0,9300000.0,-29200000.0,13900000.0,13900000.0,,6900000.0,,,,BRKR,,,,,,-41900000.0,-10500000.0,-10500000.0,,20200000.0,,,,,,,,,,,,,,,,,,400000.0,,804400000.0,,,,,,,800000.0,,,,,mid_cap
2024-12-31,46853000.0,-16113000.0,-261075000.0,256700000.0,-17085000.0,18765000.0,642402000.0,625860000.0,17886000.0,-28831000.0,-28831000.0,-8343000.0,,,-16113000.0,-16113000.0,-4375000.0,0.0,-256700000.0,-4375000.0,-261075000.0,256700000.0,-17221000.0,-17221000.0,-136000.0,0.0,0.0,,-17085000.0,-17085000.0,63938000.0,63938000.0,-59945000.0,,,-91607000.0,-54656000.0,-54656000.0,15747000.0,-21169000.0,-18613000.0,526000.0,15292000.0,31845000.0,31845000.0,70884000.0,SANM,0.0,-1344000.0,0.0,0.0,0.0,24089000.0,,,,,5336000.0,5336000.0,31845000.0,,,,,-36951000.0,12995000.0,,,,,4496000.0,,,,,,256700000.0,,,,,,,,,,,,mid_cap
2024-09-30,,,,,,,,,,,,,,,,,,,,,,-1932400000.0,,,,,,,,,,,,,,,,,,,,,,,,,SANM,5202000.0,,5202000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mid_cap
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,-600000.0,,,-600000.0,,,,,,,,,,,,,,,,,,,SANM,,,,,,,,,,,,,29764000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mid_cap
2024-10-31,28162000.0,,-5000000.0,0.0,-1413000.0,56754000.0,136504000.0,115928000.0,20655000.0,-7507000.0,-7507000.0,-3112000.0,,,,,-5000000.0,-5000000.0,,-5000000.0,-5000000.0,0.0,-1413000.0,-1413000.0,0.0,0.0,0.0,0.0,-483000.0,-483000.0,29575000.0,29575000.0,4120000.0,-1590000.0,-3108000.0,5674000.0,-12173000.0,-12173000.0,-7415000.0,10559000.0,10559000.0,3108000.0,18405000.0,11493000.0,11493000.0,-7586000.0,SMTC,,-79000.0,,,,,,,,0.0,-10000.0,-10000.0,11493000.0,45000.0,0.0,605000.0,,17847000.0,,33000.0,,,,-35471000.0,,-930000.0,-930000.0,0.0,,0.0,,,,12000.0,,,,,,,,mid_cap
2024-07-31,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,-434000.0,,,,,,,,,,,,,,,,,,,SMTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,mid_cap
2024-12-31,288000000.0,-31000000.0,0.0,0.0,-18000000.0,34000000.0,901000000.0,676000000.0,228000000.0,-63000000.0,-63000000.0,-32000000.0,,,-31000000.0,-31000000.0,0.0,,,0.0,0.0,0.0,-15000000.0,-15000000.0,,3000000.0,3000000.0,0.0,-18000000.0,-18000000.0,306000000.0,306000000.0,110000000.0,0.0,4000000.0,160000000.0,97000000.0,97000000.0,-56000000.0,-61000000.0,-61000000.0,2000000.0,21000000.0,42000000.0,42000000.0,163000000.0,ZBRA,,-3000000.0,,,,63000000.0,,,,,-32000000.0,-32000000.0,,0.0,0.0,,,63000000.0,,,,,,52000000.0,,,,,,,,,,,,,,0.0,,,,mid_cap
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,ZBRA,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,mid_cap
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3000000.0,,,,,,,,,,,,,,,,,,,ZBRA,,,,0.0,0.0,,,,,,,,,-11000000.0,-11000000.0,-24000000.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,mid_cap
2024-12-31,837000000.0,-154000000.0,-312000000.0,0.0,-83000000.0,,2231000000.0,2013000000.0,239000000.0,-602000000.0,-602000000.0,,-150000000.0,-150000000.0,-154000000.0,-154000000.0,-312000000.0,,,288000000.0,-312000000.0,,-79000000.0,-79000000.0,,4000000.0,5000000.0,-1000000.0,-83000000.0,-83000000.0,920000000.0,920000000.0,334000000.0,-15000000.0,126000000.0,6000000.0,6000000.0,6000000.0,,117000000.0,117000000.0,9000000.0,41000000.0,143000000.0,143000000.0,546000000.0,CTSH,,-21000000.0,,0.0,0.0,100000000.0,,,,,-153000000.0,-153000000.0,,,,14000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,mid_cap
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,CTSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mid_cap
